variant.id;id;sku;title;price;comparePrice;product_id;title.1;totalInventory;totalVariants;mediaCount;sku_2;SKU;Porcentagem;Encomenda
gid://shopify/ProductVariant/46551620223271;gid://shopify/ProductVariant/46551620223271;PU01887T;M;1890.0;2700.0;gid://shopify/Product/8577943175463;Pulseira JV MAN II De Prata Com Ouro Branco Fosco;25.0;4.0;1.0;PU01887T;PU01887T;30.0;Nao
gid://shopify/ProductVariant/46551643914535;gid://shopify/ProductVariant/46551643914535;PU01891T;GG;1890.0;2700.0;gid://shopify/Product/8577943175463;Pulseira JV MAN II De Prata Com Ouro Branco Fosco;25.0;4.0;1.0;PU01891T;PU01891T;30.0;Nao
gid://shopify/ProductVariant/46551651156263;gid://shopify/ProductVariant/46551651156263;PU01889T;G;1890.0;2700.0;gid://shopify/Product/8577943175463;Pulseira JV MAN II De Prata Com Ouro Branco Fosco;25.0;4.0;1.0;PU01889T;PU01889T;30.0;Nao
;;;;12608.0;;;;;;;;;;
;;;;2176.0;;;;;;;;;;
;;;;2303.0;;;;;;;;;;
;;;;2752.0;;;;;;;;;;
;;;;1715.0;;;;;;;;;;
;;;;11520.0;;;;;;;;;;
;;;;19840.0;;;;;;;;;;
;;;;140800.0;;;;;;;;;;
;;;;237.5;;;;;;;;;;
;;;;275.0;;;;;;;;;;
;;;;300.0;;;;;;;;;;
;;;;200.0;;;;;;;;;;
;;;;250.0;;;;;;;;;;
;;;;1323.0;;;;;;;;;;
;;;;1421.0;;;;;;;;;;
;;;;1421.0;;;;;;;;;;
;;;;1323.0;;;;;;;;;;
;;;;1323.0;;;;;;;;;;
;;;;1421.0;;;;;;;;;;
;;;;1421.0;;;;;;;;;;
;;;;245.0;;;;;;;;;;
;;;;245.0;;;;;;;;;;
;;;;162.5;;;;;;;;;;
;;;;162.5;;;;;;;;;;
;;;;212.5;;;;;;;;;;
;;;;250.0;;;;;;;;;;
;;;;162.5;;;;;;;;;;
;;;;162.5;;;;;;;;;;
;;;;10880.0;;;;;;;;;;
;;;;10880.0;;;;;;;;;;
;;;;10880.0;;;;;;;;;;
;;;;1568.0;;;;;;;;;;
;;;;1519.0;;;;;;;;;;
;;;;686.0;;;;;;;;;;
;;;;686.0;;;;;;;;;;
;;;;26112.0;;;;;;;;;;
;;;;11520.0;;;;;;;;;;
;;;;5120.0;;;;;;;;;;
;;;;350.0;;;;;;;;;;
;;;;56960.0;;;;;;;;;;
;;;;13120.0;;;;;;;;;;
;;;;11200.0;;;;;;;;;;
;;;;12800.0;;;;;;;;;;
;;;;114560.0;;;;;;;;;;
;;;;262400.0;;;;;;;;;;
;;;;63360.0;;;;;;;;;;
;;;;26240.0;;;;;;;;;;
;;;;110720.0;;;;;;;;;;
;;;;70400.0;;;;;;;;;;
;;;;45440.0;;;;;;;;;;
;;;;88960.0;;;;;;;;;;
;;;;83200.0;;;;;;;;;;
;;;;11072.0;;;;;;;;;;
;;;;17280.0;;;;;;;;;;
;;;;21568.0;;;;;;;;;;
;;;;156800.0;;;;;;;;;;
;;;;16000.0;;;;;;;;;;
;;;;47200.0;;;;;;;;;;
;;;;9344.0;;;;;;;;;;
;;;;8960.0;;;;;;;;;;
;;;;9600.0;;;;;;;;;;
;;;;40960.0;;;;;;;;;;
;;;;1421.0;;;;;;;;;;
;;;;1421.0;;;;;;;;;;
;;;;1421.0;;;;;;;;;;
;;;;1323.0;;;;;;;;;;
;;;;1323.0;;;;;;;;;;
;;;;1323.0;;;;;;;;;;
;;;;1323.0;;;;;;;;;;
;;;;1323.0;;;;;;;;;;
;;;;1323.0;;;;;;;;;;
