id;title;key;value;__parentId
gid://shopify/Product/8573492003111;Brinco Celebrate De Ouro Amarelo 18K E Diamante;;;
gid://shopify/Metafield/30873881084199;;genero;"[""Feminino""]";gid://shopify/Product/8573492003111
gid://shopify/Metafield/30873881149735;;metal;Ouro Amarelo;gid://shopify/Product/8573492003111
gid://shopify/Metafield/30873881215271;;cobertura;Ouro Amarelo;gid://shopify/Product/8573492003111
gid://shopify/Metafield/30873881280807;;pedra;"[""Diamante""]";gid://shopify/Product/8573492003111
gid://shopify/Metafield/30873881313575;;cuidadospeca;"Evite o contato de uma joia com a outra. Guarde-as separadamente nas embalagens fornecidas pela Jack Vartanian;
Com o uso, fechos e tarraxas podem necessitar de ajustes para que fiquem com a pressão adequada. Entre em contato conosco;
Após o uso, aconselhamos limpar a joia com flanela de algodão para tirar possíveis resíduos de produtos como maquiagem e perfume;
Evite o contato com água do mar, cremes, perfumes e produtos químicos.";gid://shopify/Product/8573492003111
gid://shopify/Metafield/31224057528615;;metal_filters;"[""OURO""]";gid://shopify/Product/8573492003111
gid://shopify/Product/8573492298023;Brinco Celebrate De Ouro Amarelo 18K E Diamante;;;
gid://shopify/Metafield/30873882853671;;genero;"[""Feminino""]";gid://shopify/Product/8573492298023
gid://shopify/Metafield/30873882886439;;metal;Ouro Amarelo;gid://shopify/Product/8573492298023
gid://shopify/Metafield/30873882919207;;cobertura;Ouro Amarelo;gid://shopify/Product/8573492298023
gid://shopify/Metafield/30873882951975;;pedra;"[""Diamante""]";gid://shopify/Product/8573492298023
gid://shopify/Metafield/30873882984743;;cuidadospeca;"Evite o contato de uma joia com a outra. Guarde-as separadamente nas embalagens fornecidas pela Jack Vartanian;
Com o uso, fechos e tarraxas podem necessitar de ajustes para que fiquem com a pressão adequada. Entre em contato conosco;
Após o uso, aconselhamos limpar a joia com flanela de algodão para tirar possíveis resíduos de produtos como maquiagem e perfume;
Evite o contato com água do mar, cremes, perfumes e produtos químicos.";gid://shopify/Product/8573492298023
gid://shopify/Metafield/31224057692455;;metal_filters;"[""OURO""]";gid://shopify/Product/8573492298023
gid://shopify/Product/8573492592935;Brinco Celebrate De Ouro Amarelo 18K E Diamante;;;
gid://shopify/Metafield/30873885081895;;genero;"[""Feminino""]";gid://shopify/Product/8573492592935
gid://shopify/Metafield/30873885114663;;metal;Ouro Amarelo;gid://shopify/Product/8573492592935
gid://shopify/Metafield/30873885147431;;cobertura;Ouro Amarelo;gid://shopify/Product/8573492592935
gid://shopify/Metafield/30873885180199;;pedra;"[""Diamante""]";gid://shopify/Product/8573492592935
gid://shopify/Metafield/30873885212967;;cuidadospeca;"Evite o contato de uma joia com a outra. Guarde-as separadamente nas embalagens fornecidas pela Jack Vartanian;
Com o uso, fechos e tarraxas podem necessitar de ajustes para que fiquem com a pressão adequada. Entre em contato conosco;
Após o uso, aconselhamos limpar a joia com flanela de algodão para tirar possíveis resíduos de produtos como maquiagem e perfume;
Evite o contato com água do mar, cremes, perfumes e produtos químicos.";gid://shopify/Product/8573492592935
gid://shopify/Metafield/31224057954599;;metal_filters;"[""OURO""]";gid://shopify/Product/8573492592935
gid://shopify/Product/8573492986151;Brinco Celebrate De Ouro Amarelo 18K E Diamante;;;
gid://shopify/Metafield/30873889145127;;genero;"[""Feminino""]";gid://shopify/Product/8573492986151
gid://shopify/Metafield/30873889177895;;metal;Ouro Amarelo;gid://shopify/Product/8573492986151
